id, E, epsilon, epsilon_C, tau_B, alpha_B, energy_consumed, n_B, tau_P, tau_D, e_P, e_B, e_R, sim_p, eh_p, n_iB
73, 281059.632, 0.447, 0.000, 3016.84, 0.0499, 281059.632, 268, 808512, 18446744073709115392, 166441.565, 114419.491, 198.576, 0.592, 0.369, 0
74, 281096.574, 0.464, 0.000, 2834.90, 0.0435, 281096.574, 275, 779598, 18446744073709129904, 166081.354, 114816.643, 198.576, 0.591, 0.392, 0
75, 281086.523, 0.459, 0.000, 2940.38, 0.0498, 281086.523, 269, 790963, 18446744073709123800, 166587.602, 114300.346, 198.576, 0.593, 0.373, 0
76, 281145.487, 0.445, 0.000, 3107.66, 0.0435, 281145.487, 265, 823530, 18446744073709107728, 169108.908, 111838.003, 198.576, 0.601, 0.391, 0
77, 281134.244, 0.448, 0.000, 3122.12, 0.0473, 281134.244, 263, 821118, 18446744073709108608, 169494.817, 111440.851, 198.576, 0.603, 0.380, 0
78, 281236.601, 0.436, 0.000, 3313.71, 0.0416, 281236.601, 257, 851624, 18446744073709090672, 170431.193, 110606.832, 198.576, 0.606, 0.399, 0
79, 281082.002, 0.432, 0.000, 3236.72, 0.0433, 281082.002, 260, 841547, 18446744073709098048, 167536.245, 113347.181, 198.576, 0.596, 0.388, 0
80, 281216.714, 0.426, 0.000, 3656.80, 0.0402, 281216.714, 244, 892259, 18446744073709070200, 175177.130, 105841.008, 198.576, 0.623, 0.407, 0
81, 281181.501, 0.420, 0.000, 3880.62, 0.0402, 281181.501, 235, 911946, 18446744073709060576, 176770.240, 104212.685, 198.576, 0.629, 0.408, 0
82, 281120.448, 0.421, 0.000, 3661.41, 0.0418, 281120.448, 244, 893385, 18446744073709069288, 172936.243, 107985.629, 198.576, 0.615, 0.398, 0
83, 281245.995, 0.423, 0.000, 3756.83, 0.0455, 281245.995, 238, 894126, 18446744073709069112, 174054.670, 106992.749, 198.576, 0.619, 0.387, 0
84, 281248.602, 0.423, 0.000, 3699.37, 0.0395, 281248.602, 239, 884150, 18446744073709074752, 172389.238, 108660.787, 198.576, 0.613, 0.408, 0
