id, E, epsilon, epsilon_C, tau_B, alpha_B, energy_consumed, n_B, tau_P, tau_D, e_P, e_B, e_R, sim_p, eh_p
239, 281219.505, 1.100, 0.000, 6585.24, 0.0038, 281219.505, 78, 513635, 18446744073709274494, 260049.549, 20969.626, 198.576, 0.925, 0.860
240, 281213.526, 1.101, 0.000, 6576.58, 0.0038, 281213.526, 78, 512959, 18446744073709274878, 260083.284, 20929.910, 198.576, 0.925, 0.860
241, 281104.457, 1.107, 0.000, 6721.38, 0.0039, 281104.457, 76, 510811, 18446744073709276110, 260371.367, 20532.758, 198.576, 0.926, 0.862
242, 281214.240, 1.099, 0.000, 6584.71, 0.0152, 281214.240, 78, 513593, 18446744073709274518, 260004.569, 21009.341, 198.576, 0.925, 0.789
243, 281165.685, 1.102, 0.000, 6752.28, 0.0039, 281165.685, 76, 513159, 18446744073709274786, 260351.996, 20572.474, 198.576, 0.926, 0.862
244, 281179.920, 1.099, 0.000, 6678.71, 0.0039, 281179.920, 77, 514243, 18446744073709274158, 260208.539, 20771.050, 198.576, 0.925, 0.861
245, 280991.809, 1.100, 0.000, 6763.54, 0.0038, 280991.809, 76, 514015, 18446744073709274286, 260298.435, 20493.043, 198.576, 0.926, 0.862
246, 281118.821, 1.103, 0.000, 6656.17, 0.0038, 281118.821, 77, 512511, 18446744073709275138, 260225.700, 20691.619, 198.576, 0.926, 0.862
247, 281131.106, 1.100, 0.000, 6489.61, 0.0039, 281131.106, 79, 512661, 18446744073709275030, 259722.858, 21207.917, 198.576, 0.924, 0.859
248, 281234.651, 1.099, 0.000, 6499.56, 0.0038, 281234.651, 79, 513451, 18446744073709274594, 259864.948, 21168.202, 198.576, 0.924, 0.860
249, 281239.460, 1.098, 0.000, 6508.11, 0.0038, 281239.460, 79, 514123, 18446744073709274210, 259869.758, 21168.202, 198.576, 0.924, 0.860
250, 281207.805, 1.100, 0.000, 6669.26, 0.0039, 281207.805, 77, 513515, 18446744073709274574, 260236.425, 20771.050, 198.576, 0.925, 0.861
251, 281109.429, 1.104, 0.000, 6467.47, 0.0039, 281109.429, 79, 510916, 18446744073709276022, 259740.896, 21168.202, 198.576, 0.924, 0.859
252, 281224.056, 1.100, 0.000, 6494.80, 0.0039, 281224.056, 79, 513075, 18446744073709274798, 259815.808, 21207.917, 198.576, 0.924, 0.859
253, 281249.211, 1.100, 0.000, 6580.09, 0.0038, 281249.211, 78, 513233, 18446744073709274726, 260079.254, 20969.626, 198.576, 0.925, 0.860
